game_date,team_id,opp_id,team_rush_avg,team_pass_avg,opp_rush_avg,opp_pass_avg,team_rush_weak,team_pass_weak,opp_rush_weak,opp_pass_weak,result
0009-11-28,257,255,128.4,221.6,317.6,132.9,134.9,220.7,122.5,233.0,1
0009-12-05,147,255,147.1,215.0,307.8,134.7,141.1,179.7,144.5,214.5,0
0010-01-05,312,255,108.0,217.9,329.4,135.0,119.7,159.3,158.0,196.6,1
0010-09-11,328,255,78.0,318.4,311.5,127.3,159.8,256.4,172.0,206.0,1
0010-09-18,457,255,119.4,192.9,319.2,112.3,117.9,189.9,165.4,196.1,0
0010-09-25,490,255,118.2,265.9,316.4,106.8,155.2,268.8,161.7,181.1,1
0010-10-02,749,255,145.4,232.9,310.0,113.3,199.1,235.6,160.1,202.0,0
0010-10-09,746,255,100.6,179.8,294.6,117.8,192.1,196.3,173.4,195.9,0
0010-10-16,419,255,201.0,190.3,301.6,104.4,145.6,222.7,165.2,201.9,0
0010-10-23,147,255,173.3,175.6,293.3,107.9,166.6,199.2,177.3,192.9,1
0010-11-04,742,255,223.7,214.6,285.2,94.9,117.0,208.2,198.1,184.0,1
0010-11-13,415,255,174.0,226.5,299.3,89.4,164.7,165.7,183.5,190.1,1
0010-11-20,193,255,110.2,269.6,296.7,85.9,194.6,263.9,179.0,204.0,0
0010-11-27,257,255,146.0,241.3,315.0,93.7,141.5,202.7,172.8,214.3,1
0010-12-27,721,255,300.3,118.7,326.9,92.2,207.5,154.3,174.3,223.5,1
0011-09-10,419,255,175.8,188.7,317.4,88.7,198.3,209.0,177.0,214.3,0
0011-09-17,328,255,150.1,170.9,330.9,98.5,206.3,261.8,175.5,197.3,0
0011-09-24,457,255,132.7,264.0,370.4,101.9,108.4,240.7,174.3,207.7,0
0011-10-01,490,255,97.7,279.9,353.9,114.4,104.5,266.1,173.4,204.2,0
0011-10-08,392,255,138.2,251.0,350.7,117.5,128.6,247.1,178.0,206.1,0
0011-10-15,746,255,152.7,272.2,354.1,120.6,181.9,207.1,178.8,198.1,1
0011-10-22,415,255,184.6,236.5,346.7,115.0,189.1,185.1,186.6,197.9,1
0011-10-29,147,255,155.8,283.5,329.4,112.6,132.8,210.9,171.0,188.9,0
0011-11-10,742,255,180.3,227.0,335.7,109.6,96.9,230.7,169.0,185.9,1
0011-11-19,193,255,83.0,279.3,318.9,109.2,179.7,250.2,180.1,179.7,0
0011-11-26,257,255,186.4,238.9,327.8,123.6,91.3,195.5,173.2,193.0,1
0011-12-31,732,255,139.6,172.0,314.0,113.4,95.1,250.2,171.6,198.4,1
0012-09-03,742,255,177.7,229.2,285.0,110.7,129.6,205.5,170.9,196.6,1
0012-09-15,746,255,142.6,238.0,273.0,101.9,147.3,218.4,170.0,199.2,0
0012-09-22,415,255,132.4,241.5,289.4,103.5,153.5,230.8,160.3,199.9,1
0012-09-29,419,255,161.3,227.0,290.5,105.3,205.8,211.3,153.0,234.8,1
0012-10-06,147,255,161.6,276.0,287.1,121.6,192.3,244.7,151.7,245.9,1
0012-10-20,67,255,126.2,209.9,308.4,128.3,208.2,244.8,159.8,271.6,0
0012-10-27,77,255,154.8,228.2,308.6,139.5,79.4,200.7,155.2,267.6,1
0012-11-03,392,255,122.8,209.9,296.0,133.8,112.0,249.0,146.9,269.5,0
0012-11-10,457,255,187.2,288.4,296.2,118.4,137.1,266.7,151.2,256.0,0
0012-11-17,193,255,114.5,270.6,309.8,128.0,193.9,271.2,153.1,265.8,0
0012-11-24,257,255,201.3,271.4,311.8,126.2,138.7,195.7,146.4,266.3,1
0012-12-01,234,255,201.8,272.2,324.8,128.6,98.4,184.8,151.2,264.8,1
0012-12-31,657,255,153.9,298.2,297.2,127.1,171.8,234.6,161.3,258.3,0
0008-09-13,463,472,118.5,280.5,,,59.5,292.0,,,1
0008-09-20,704,472,106.0,233.0,114.0,225.0,193.0,251.5,330.0,223.0,0
0008-09-27,473,472,159.25,147.0,78.0,277.0,116.75,263.5,303.5,159.0,1
0008-10-11,466,472,283.25,215.75,68.0,312.0,85.0,358.75,301.3333333333333,124.33333333333333,0
0008-10-18,630,472,127.2,211.2,78.5,336.25,102.2,171.8,304.25,141.75,1
0008-10-25,295,472,101.71428571428571,213.0,69.8,318.8,273.2857142857143,246.57142857142858,273.6,123.4,1
0008-11-01,66,472,133.16666666666666,261.3333333333333,64.0,319.6666666666667,122.66666666666667,188.83333333333334,273.1666666666667,112.66666666666667,1
0008-11-08,277,472,104.75,213.5,60.285714285714285,290.0,204.75,199.25,265.0,136.42857142857142,1
0008-11-15,96,472,186.88888888888889,227.77777777777777,53.5,303.0,238.33333333333334,189.88888888888889,250.25,157.25,1
0008-11-22,366,472,187.66666666666666,144.22222222222223,46.55555555555556,290.6666666666667,116.66666666666667,233.22222222222223,243.44444444444446,156.0,1
0008-11-29,731,472,131.0,198.6,44.9,310.2,182.2,262.9,241.9,153.6,1
0009-09-05,295,472,130.5,203.5,32.8,304.0,217.9,258.5,233.0,148.2,1
0009-09-19,704,472,105.4,300.2,39.0,294.6,222.1,273.0,222.5,156.6,1
0009-09-26,473,472,185.3,136.1,52.9,266.1,165.8,189.8,208.4,169.3,0
0009-10-03,626,472,76.2,231.5,54.1,234.8,231.7,213.3,192.1,170.5,1
0009-10-10,731,472,146.8,209.9,59.4,224.5,167.5,263.5,187.8,179.9,0
0009-10-17,366,472,180.4,142.4,70.9,200.2,149.6,251.9,186.5,191.1,1
0009-10-24,96,472,219.2,176.2,73.8,195.8,183.6,224.0,196.5,185.7,1
0009-10-31,518,472,181.6,181.7,94.6,160.9,93.7,204.1,200.8,177.5,1
0009-11-14,277,472,97.3,345.0,101.8,143.9,198.7,244.8,212.9,187.8,1
0009-11-21,466,472,357.3,167.5,112.2,106.4,107.4,307.2,202.0,211.2,1
0009-11-28,630,472,54.4,204.5,128.5,97.8,273.4,190.6,235.4,203.9,1
0009-12-05,66,472,205.2,268.8,134.9,79.4,145.2,187.0,229.9,203.6,1
0010-09-11,626,472,75.4,263.8,131.1,74.6,176.2,221.8,240.3,214.2,1
0010-09-18,704,472,166.7,305.2,129.4,87.3,214.6,272.4,250.3,225.5,1
0010-09-25,328,472,80.4,283.2,130.2,92.7,193.7,220.6,264.4,235.7,1
0010-10-02,66,472,190.6,287.5,128.0,99.3,121.5,173.9,262.5,245.0,1
0010-10-09,473,472,102.2,205.5,133.1,101.5,184.5,268.3,261.0,253.4,0
0010-10-16,96,472,157.9,235.5,129.3,100.8,251.0,200.6,253.2,247.3,1
0010-10-23,295,472,133.5,317.6,137.2,114.2,174.2,270.9,244.5,235.6,1
0010-10-30,630,472,76.0,189.5,140.8,116.5,243.4,202.7,241.4,229.4,0
0010-11-06,731,472,160.8,201.6,143.2,134.7,204.5,263.2,190.9,255.9,1
0010-11-13,366,472,169.0,234.4,142.4,148.7,164.5,293.5,200.5,249.3,1
0010-11-20,466,472,303.7,215.4,142.5,165.4,120.5,271.9,198.7,238.9,1
0010-11-27,277,472,92.7,381.3,140.9,165.1,151.0,224.8,198.0,232.1,1
0011-09-03,519,472,179.1,179.0,140.3,158.6,114.2,260.3,205.8,239.0,1
0011-09-10,428,472,119.9,227.3,128.6,180.1,196.3,199.7,206.2,233.7,0
